ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,DIRECCION,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,UBICACION,USO,MODELO,fecha_instalacion_converted,direccion_tipo_de_via,direccion_nombre,direccion_numero,apto_consumo_humano
5220283,"Fuentes de beber",127,PRADOLONGO,12,USERA,CERRADA_TEMPORALMENT,440.330.577,4.469.741.157,ETRS89,4.037.611.857,-370.290.392,"CALLE DOCTOR TOLOSA LATOUR, 14 B",28026,"EN SUROESTE CAMPO DE FUTBOL, PROXIMO A MIRADOR PARQUE DE PRADOLONGO",31070728,"2023-06-30 00:00:00.0",FUE_12_0078,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-06-30,CALLE,"DOCTOR TOLOSA LATOUR","14 B",Sí
5220287,"Fuentes de beber",127,PRADOLONGO,12,USERA,CERRADA_TEMPORALMENT,439.933.398,4.469.397.881,ETRS89,4.037.299.763,-370.754.999,"AVENIDA POBLADOS, 167",28041,"DETRAS DE GAOLINERA, EN AREA CANINA DE PRADOLONGO",31007158,"2020-01-10 00:00:00.0",FUE_12_0079,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2020-01-10,AVENIDA,POBLADOS,167,Sí
529529,"Fuentes de beber",33,ESTRELLA,3,RETIRO,OPERATIVO,443.835.690,4.474.016.740,ETRS89,4.041.487.910,-366.199.361,"CALLE JUAN ESPLANDIU, 4",28007,"EN AREA CANINA, PROXIMO A TEMPLETE DE PARQUE ROMA",11013635,,FUE_03_0005,FUE22,ZV,MASCOTAS,"BEBEDERO NEPTUNO",NULL,CALLE,"JUAN ESPLANDIU",4,No
529791,"Fuentes de beber",97,ARAVACA,9,"MONCLOA - ARAVACA",CERRADA_TEMPORALMENT,434.095.490,4.478.300.380,ETRS89,4.045.275.312,-377.723.365,"CALLE ARROYO DE POZUELO, 71",28023,"CERCANA AL ÁREA INFANTIL",31005603,,FUE_09_0025,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",NULL,CALLE,"ARROYO DE POZUELO",71,Sí
530022,"Fuentes de beber",152,"PUEBLO NUEVO",15,"CIUDAD LINEAL",CERRADA_TEMPORALMENT,445.869.120,4.474.867.690,ETRS89,4.042.267.970,-363.809.998,"AVENIDA DAROCA, 99",28017,"PARQUE LOS TILOS II JUNTO ÁREA CANINA",20117847,,FUE_15_0098,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA NEPTUNO",NULL,AVENIDA,DAROCA,99,Sí
5242892,"Fuentes de beber",102,"PUERTA DEL ANGEL",10,LATINA,OPERATIVO,437.432.650,4.473.211.210,ETRS89,4.040.716.583,-373.737.969,"PLAZA PATRIARCA EIJO Y GARAY, 2",28011,"JUNTO AREA INFANTIL, PR0XIMO A FUENTE ORNAMENTAL, EN PARQUE",11062431,"2020-01-14 00:00:00.0",FUE_10_0117,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA TERRIER",2020-01-14,PLAZA,"PATRIARCA EIJO Y GARAY",2,Sí
529399,"Fuentes de beber",15,UNIVERSIDAD,1,CENTRO,OPERATIVO,440248.16,4475384.04,ETRS89,4.042.694.655,-370.440.439,"CALLE DOS DE MAYO, 1",28004,"Plaza Dos de Mayo",11006199,,FUE_01_0020,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",NULL,CALLE,"DOS DE MAYO",1,Sí
529792,"Fuentes de beber",97,ARAVACA,9,"MONCLOA - ARAVACA",CERRADA_TEMPORALMENT,434.197.820,4.478.382.060,ETRS89,4.045.349.702,-377.603.541,"CALLE VIRGEN DE LOS ROSALES, 44",28023,"CERCANA A LAS PISTAS DE PETANCA",20125597,,FUE_09_0026,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",NULL,CALLE,"VIRGEN DE LOS ROSALES",44,Sí
530057,"Fuentes de beber",152,"PUEBLO NUEVO",15,"CIUDAD LINEAL",OPERATIVO,445616.28,4476178.67,ETRS89,4.043.447.326,-364.119.246,"CALLE GOMEZ DE AVELLANEDA, 37",28017,"CV CALLE VICENTE ESPINEL",11107884,,FUE_15_0112,FUE22,VP,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",NULL,CALLE,"GOMEZ DE AVELLANEDA",37,Sí
530299,"Fuentes de beber",205,ROSAS,20,"SAN BLAS - CANILLEJAS",OPERATIVO,448527.60,4475657.32,ETRS89,4.042.996.189,-360.682.720,"AVENIDA NIZA, 37",28022,"PRÓXIMO JULIA GRACIA BOUTAN ÁREA CANINA",20096820,"2023-08-10 00:00:00.0",FUE_20_0094,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-08-10,AVENIDA,NIZA,37,Sí
530402,"Fuentes de beber",135,PORTAZGO,13,"PUENTE DE VALLECAS",CERRADA_TEMPORALMENT,445.017.720,4.470.827.560,ETRS89,4.038.622.798,-364.778.675,"CALLE TANGER, 2",28018,"JUNTO FAROLIN 11, EN AREA CANINA",11098053,,FUE_13_0090,FUE22,ZV,MASCOTAS,"BEBEDERO CANINO",NULL,CALLE,TANGER,2,No
530413,"Fuentes de beber",132,"SAN DIEGO",13,"PUENTE DE VALLECAS",OPERATIVO,443.309.790,4.470.610.270,ETRS89,4.038.415.604,-366.788.852,"CALLE DOCTOR BELLIDO, 23",28018,"C/V C/ PUERTO DE LA MORCUERA, EN JARDIN",31018137,,FUE_13_0106,FUE22,ZV,MASCOTAS,"BEBEDERO CANINO",NULL,CALLE,"DOCTOR BELLIDO",23,No
530455,"Fuentes de beber",145,FONTARRON,14,MORATALAZ,OPERATIVO,444.606.660,4.472.971.680,ETRS89,4.040.551.627,-365.281.598,"AVENIDA MORATALAZ, 62",28030,"JUNTO FAROLA 42 Y AREA CANINA",20152933,"2022-06-10 00:00:00.0",FUE_14_0078,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2022-06-10,AVENIDA,MORATALAZ,62,Sí
